Site,Date,NO3,d18O,d17O
ANT,10/8/15,4.5517,2.1,1.07
ANT,10/13/15,4.6838,2.02,1.24
ANT,11/4/15,4.2825,0.39,0.59
ANT,11/9/15,4.5956,3.99,2.4
ANT,12/1/15,4.05,4.71,3.15
ANT,12/2/15,2.9862,2.91,1.82
ANT,12/29/15,2.1118,2.22,1.31
ANT,12/31/15,2.7495,2.78,1.6
ANT,1/6/16,3.7891,6.33,3.61
ANT,1/10/16,1.4746,0.65,0.72
ANT,1/31/16,3.5521,0.46,0.4
ANT,2/4/16,1.7835,-11.52,-3.82
ANT,2/18/16,3.5245,2.13,1.11
ANT,2/18/16,3.3188,0.9,0.67
ANT,3/9/16,4.1107,-6.23,-3.11
ANT,3/21/16,3.9379,-2.12,-1.33
ANT,4/4/16,3.8258,3.82,2.14
ANT,4/18/16,3.8595,3.91,2.31
ANT,5/9/16,2.1637,4.57,2.56
ANT,5/16/16,2.8924,5.32,2.84
ANT,6/1/16,3.2049,4.88,1.97
ANT,6/14/16,3.72,3.95,2.34
ANT,6/24/16,1.7782,2.16,2.22
ANT,7/9/16,3.089,3.12,1.52
ANT,7/14/16,3.8784,0.08,0.63
ANT,8/2/16,3.8867,-4.84,-2.9
ANT,8/16/16,4.4759,2.47,1.05
ANT,9/7/16,4.6666,1.87,1.59
ANT,9/14/16,4.8977,5.62,3.36
ANT,9/29/16,3.099,3.28,2.28
ANT,9/30/16,2.18,4.5,2.28
ANT,10/5/16,4.8664,4.66,1.76
ANT,10/24/16,4.6523,2.46,1.21
ANT,11/2/16,4.7268,6.98,3.36
ANT,11/9/16,4.7079,4.58,2.43
ANT,12/5/16,4.2912,-0.03,1.27
ANT,12/8/16,3.2943,-1.61,-0.85
ANT,12/8/16,3.301,4.02,3.4
ANT,1/11/17,3.8214,2.01,1.13
ANT,1/17/17,3.7285,1.45,1.61
ANT,1/24/17,1.5155,2.4,1.77
ANT,2/8/17,2.8863,0.16,0.49
ANT,2/16/17,3.2174,-2.21,-1.95
ANT,3/6/17,3.2945,-1.28,-0.53
ANT,3/9/17,2.9883,1.62,1.28
ANT,4/3/17,2.3494,-0.98,0.48
ANT,4/5/17,2.3246,0.25,1.23
ANT,4/8/17,2.0605,0.21,0.37
ANT,5/1/17,2.3023,0.51,0.91
ANT,5/5/17,1.0182,3.7,1.99
ANT,5/6/17,1.3561,5.95,2.17
ANT,5/11/17,2.1869,5.82,3.38
ANT,6/5/17,3.436,5.84,3.19
ANT,6/5/17,3.4314,6.3,2.85
ANT,6/25/17,3.3038,1.6,0.57
ANT,7/5/17,3.2064,2.87,1.48
ANT,7/7/17,2.4429,1.56,0.7
ANT,7/13/17,4.4124,2.56,0.65
ANT,7/29/17,1.646,5.98,3
ANT,8/1/17,4.6352,4.21,2.64
ANT,9/5/17,5.1385,2.2,1.53
ANT,9/6/17,3.1655,2.41,1.54
ANT2,10/7/15,3.6084,3.56,1.82
ANT2,10/27/15,4.035,2.52,1.3
ANT2,11/4/15,3.549,3.18,2.26
ANT2,11/17/15,3.5583,2.12,1.34
ANT2,12/2/15,3.5699,2.26,1.4
ANT2,12/8/15,3.7793,2.11,1.63
ANT2,12/29/15,2.9587,1.51,1.08
ANT2,12/31/15,3.1519,-0.15,0.55
ANT2,1/6/16,3.7901,2.69,2.3
ANT2,1/11/16,3.7513,1.42,0.99
ANT2,1/20/16,3.8931,2.67,1.73
ANT2,2/3/16,2.9859,1.68,0.91
ANT2,2/4/16,1.9958,1.82,1.73
ANT2,2/17/16,2.7031,1.58,1.74
ANT2,3/2/16,4.3992,-0.01,0.4
ANT2,3/22/16,4.4959,3.57,2.23
ANT2,4/6/16,4.1214,4.27,2.79
ANT2,4/19/16,3.9056,2.7,2.09
ANT2,5/4/16,2.9643,1.81,1.68
ANT2,5/17/16,3.3352,2.59,1.63
ANT2,6/1/16,3.5295,1.3,0.96
